Column,t_statistic,p-value,significant difference
elapsed_time,-30.471147784626613,8.704850806477291e-30,True
set_no,-36.64491728044454,5.873102707816137e-33,True
game_no,2.077176754839279,0.044090329576643134,True
point_no,-28.90368372402334,6.906326834976167e-29,True
p1_sets,,,False
p2_sets,-36.64491728044454,5.873102707816137e-33,True
p1_games,6.586954694870289,6.332613311319314e-08,True
p2_games,-0.9228763151509057,0.3614710697845839,False
p1_score,3.9801910142503134,0.00027449442345961456,True
p2_score,-1.0503914789906728,0.2996902526522086,False
server,-0.41919528101418296,0.6772616435011771,False
serve_no,-1.1088273824246446,0.27396665715530705,False
point_victor,-6.120332651155274,2.9170434927377947e-07,True
p1_points_won,-28.299497070875944,1.5771088154385432e-28,True
p2_points_won,-27.94334845172386,2.585321881335927e-28,True
game_victor,0.398733156891204,0.6921589642313402,False
set_victor,-0.8361966313024409,0.4078914385605579,False
p1_ace,3.3825819228979923,0.0015896723015440457,True
p2_ace,-0.5816653536578499,0.5639767431904945,False
p1_winner,7.388054693132476,4.693524704934363e-09,True
p2_winner,-2.34390895548091,0.024010259466251682,True
winner_shot_type,1.2776335183612553,0.20856581926510762,False
p1_double_fault,-0.8361966313024409,0.4078914385605579,False
p2_double_fault,,,False
p1_unf_err,-1.3936610521707349,0.17092887252066705,False
p2_unf_err,0.7731225077505333,0.44388450254897216,False
p1_net_pt,1.7090269149039745,0.09500645927128881,False
p2_net_pt,0.45929157937832593,0.6484507658667263,False
p1_net_pt_won,2.603912778321491,0.012777379953472962,True
p2_net_pt_won,-1.0416352574788814,0.30368431456950146,False
p1_break_pt,1.7467577939421581,0.08816772786668482,False
p2_break_pt,-1.3936610521707349,0.17092887252066705,False
p1_break_pt_won,1.7467577939421581,0.08816772786668482,False
p2_break_pt_won,-1.2240665302310547,0.2279147432614298,False
p1_break_pt_missed,,,False
p2_break_pt_missed,-0.5816653536578499,0.5639767431904945,False
p1_distance_run,-0.36101607718506884,0.719941042545394,False
p2_distance_run,-0.07373560109254966,0.9415793425424824,False
rally_count,,,False
serve_width,0.3091016412225248,0.7588095731308088,False
serve_depth,1.3501672296211502,0.18436904141214883,False
return_depth,-1.3442774902965062,0.18624980040099037,False
new_game,-0.040792506328836554,0.9676593154911185,False
game_id,-29.23307433089599,4.4319540015540466e-29,True
p1_momentum,-26.913467958645597,1.1153238659148132e-27,True
p2_momentum,-26.816848761138345,1.2825586502022168e-27,True
cal_m_1,30.584532942056423,7.522270666040293e-30,True
cal_m_2,30.584307618024912,7.52444995253969e-30,True
p,,,False
