Column,t_statistic,p-value,significant difference
elapsed_time,-9.177023135775311,7.1384279541778085e-12,True
set_no,-9.20374090164138,6.5482338256603826e-12,True
game_no,-2.0866771334544167,0.042613455707216426,True
point_no,-10.178124266353596,2.982388177838902e-13,True
p1_sets,,,False
p2_sets,-9.203740901641382,6.5482338256603366e-12,True
p1_games,-2.9286822184798025,0.005326063476711933,True
p2_games,-1.5792605606486474,0.12128077557368441,False
p1_score,1.6592436727466375,0.1040213448805346,False
p2_score,-1.2128222599804366,0.23152636882485242,False
server,0.5485543310405485,0.586022781945436,False
serve_no,1.9440666904076411,0.05815544982615645,False
point_victor,-2.93547632874049,0.005229390500992356,True
p1_points_won,-10.255202476804792,2.3475205531295796e-13,True
p2_points_won,-9.932718264819549,6.422409414932111e-13,True
game_victor,-0.24250095621767834,0.8094938960004168,False
set_victor,-0.3698352545411534,0.7132401350603855,False
p1_ace,-0.2584542794136979,0.797234822956226,False
p2_ace,-0.4584443811943568,0.6488396568646491,False
p1_winner,1.6020175603011346,0.11614912783428016,False
p2_winner,-1.0378476090324957,0.30488578908630465,False
winner_shot_type,-0.019772561514809762,0.9843122188561627,False
p1_double_fault,,,False
p2_double_fault,4.589534811637671,3.558612864512325e-05,True
p1_unf_err,-0.9191332914813752,0.362926602645376,False
p2_unf_err,3.120302882880282,0.003150636805332928,True
p1_net_pt,-0.9191332914813752,0.362926602645376,False
p2_net_pt,-0.6734444562176619,0.5041089189258866,False
p1_net_pt_won,-0.5359422007578724,0.5946378538305881,False
p2_net_pt_won,-0.6734444562176619,0.5041089189258866,False
p1_break_pt,,,False
p2_break_pt,-0.5359422007578724,0.5946378538305881,False
p1_break_pt_won,,,False
p2_break_pt_won,-0.45844438119435676,0.6488396568646491,False
p1_break_pt_missed,,,False
p2_break_pt_missed,-0.2584542794136979,0.797234822956226,False
p1_distance_run,-0.36391676714365734,0.717624484813952,False
p2_distance_run,-0.768590050399245,0.44615179658208737,False
rally_count,-0.8158098041916391,0.41890634212483,False
serve_width,-0.3806654810654131,0.705242613765156,False
serve_depth,1.4449400507189167,0.15540264450189564,False
return_depth,-1.5471318693881901,0.12883609985998673,False
new_game,0.5175544994330756,0.6073041681535931,False
game_id,-9.285842636562007,5.025500533404768e-12,True
p1_momentum,-8.575407095152995,5.088898051273244e-11,True
p2_momentum,-10.870757004119284,3.5662046332958884e-14,True
cal_m_1,9.58558633365362,1.9250590085151973e-12,True
cal_m_2,9.610177708909886,1.7801676519485378e-12,True
p,-1.6947980485980962,0.09702427494645796,False
