Column,t_statistic,p-value,significant difference
elapsed_time,3.8386064576839614,0.0002107705959746889,True
set_no,3.149312213331961,0.002126593590726431,True
game_no,1.4915772099933946,0.1387801296796629,False
point_no,3.736681451588532,0.0003023759633946894,True
p1_sets,4.133186117806103,7.171346919204925e-05,True
p2_sets,1.7346765845116066,0.0857048765393474,False
p1_games,2.4130510919338155,0.01753563880097027,True
p2_games,0.5062668240992437,0.6137207065042563,False
p1_score,2.86454208575793,0.005035814519553086,True
p2_score,1.0322434702424812,0.30430750905103027,False
server,-0.6135118238043579,0.5408522647079397,False
serve_no,-1.2657504426254556,0.20837741709353078,False
point_victor,-2.6511646186394096,0.009251574467235351,True
p1_points_won,4.240126778889801,4.788781511362443e-05,True
p2_points_won,3.2852428250946004,0.0013817085277663987,True
game_victor,0.7832151211039825,0.4352472185732382,False
set_victor,1.779076473813551,0.078093539564044,False
p1_ace,2.8317684456097085,0.005540713091424275,True
p2_ace,-0.45860381629186237,0.6474576070023855,False
p1_winner,3.0469768682132674,0.0029177699553725577,True
p2_winner,-0.8579691784155832,0.3928452945141734,False
winner_shot_type,0.23418824480735595,0.815290570675003,False
p1_double_fault,-0.2942810003883065,0.7691186934436046,False
p2_double_fault,,,False
p1_unf_err,-1.0347497623614468,0.303140718651137,False
p2_unf_err,2.8317684456097085,0.005540713091424275,True
p1_net_pt,-0.8834337292344742,0.3790012287604223,False
p2_net_pt,1.5928697506554612,0.11416714568079822,False
p1_net_pt_won,-0.5567239176358746,0.5788895888895582,False
p2_net_pt_won,-0.45860381629186237,0.6474576070023855,False
p1_break_pt,-0.16826159933854729,0.8666981149081153,False
p2_break_pt,-0.42243482154194917,0.6735633155566839,False
p1_break_pt_won,,,False
p2_break_pt_won,-0.34148449623096594,0.733414891986816,False
p1_break_pt_missed,-0.16826159933854729,0.8666981149081153,False
p2_break_pt_missed,-0.23911018073871693,0.8114818511807698,False
p1_distance_run,-0.7300017136267942,0.46699936872073344,False
p2_distance_run,-0.3116239491079048,0.7559384134810255,False
rally_count,0.12577363271277828,0.9001493575560763,False
serve_width,1.1189790678507203,0.2656783879978595,False
serve_depth,1.5275252316519463,0.12960900527483732,False
return_depth,-1.4573474419247174,0.14797669238817254,False
new_game,0.5609576205722069,0.5760103274816999,False
game_id,3.5011109957274913,0.0006792250232417191,True
p1_momentum,4.623521006042531,1.0694341432876285e-05,True
p2_momentum,2.825845039672029,0.005636765398090911,True
cal_m_1,-3.1267315366764827,0.0022817301868772785,True
cal_m_2,-3.3392657604235727,0.0011600861075233711,True
p,1.7159383568311668,0.08909466841945593,False
